Sample in Buffer,Sample in Window,TRIGGER,cpu/if_pc/ex_alu/data1[31:0],cpu/register_file/_register_reg[31]_31[31:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX
590,590,0,ffffff01,bfc00aa8
591,591,0,ffff4051,bfc00aa8
592,592,0,bfae0010,bfc00aa8
593,593,0,bfaffff0,bfc00aa8
594,594,0,00000000,bfc00aa8
595,595,0,00000000,bfc00aa8
596,596,0,d1b00f88,bfc00aa8
597,597,0,ffffff01,bfc00aa8
598,598,0,ffff4051,bfc00aa8
599,599,0,bfae0010,bfc00aa8
600,600,0,bfaffff0,bfc00aa8
601,601,0,00000000,bfc00aa8
602,602,0,00000000,bfc00aa8
603,603,0,d1b00f89,bfc00aa8
604,604,0,ffffff01,bfc00aa8
605,605,0,ffff4051,bfc00aa8
606,606,0,bfae0010,bfc00aa8
607,607,0,bfaffff0,bfc00aa8
608,608,0,00000000,bfc00aa8
609,609,0,00000000,bfc00aa8
610,610,0,d1b00f8a,bfc00aa8
611,611,0,ffffff01,bfc00aa8
612,612,0,ffff4051,bfc00aa8
613,613,0,bfae0010,bfc00aa8
614,614,0,bfaffff0,bfc00aa8
615,615,0,00000000,bfc00aa8
616,616,0,00000000,bfc00aa8
617,617,0,d1b00f8b,bfc00aa8
618,618,0,ffffff01,bfc00aa8
619,619,0,ffff4051,bfc00aa8
620,620,0,bfae0010,bfc00aa8
621,621,0,bfaffff0,bfc00aa8
622,622,0,00000000,bfc00aa8
623,623,0,00000000,bfc00aa8
624,624,0,d1b00f8c,bfc00aa8
625,625,0,ffffff01,bfc00aa8
626,626,0,ffff4051,bfc00aa8
627,627,0,bfae0010,bfc00aa8
628,628,0,bfaffff0,bfc00aa8
629,629,0,00000000,bfc00aa8
630,630,0,00000000,bfc00aa8
631,631,0,d1b00f8d,bfc00aa8
632,632,0,ffffff01,bfc00aa8
633,633,0,ffff4051,bfc00aa8
634,634,0,bfae0010,bfc00aa8
635,635,0,bfaffff0,bfc00aa8
636,636,0,00000000,bfc00aa8
637,637,0,00000000,bfc00aa8
638,638,0,d1b00f8e,bfc00aa8
639,639,0,ffffff01,bfc00aa8
640,640,0,ffff4051,bfc00aa8
641,641,0,bfae0010,bfc00aa8
642,642,0,bfaffff0,bfc00aa8
643,643,0,00000000,bfc00aa8
644,644,0,00000000,bfc00aa8
645,645,0,d1b00f8f,bfc00aa8
646,646,0,ffffff01,bfc00aa8
647,647,0,ffff4051,bfc00aa8
